date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_google_mobility,key_apple_mobility,key_numeric,key_alpha_2
2020/10/5,0,14269504,837720,0,16179,3158,0,795,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/6,0,14385874,840322,0,16251,3201,0,792,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/7,0,14535309,843732,0,16358,3125,0,753,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/8,0,14680820,847384,0,16425,3320,0,741,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/9,0,14818129,851228,0,16502,3181,0,727,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/10,0,14926892,854302,0,16568,3192,0,724,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/11,0,15011149,857076,0,16581,3143,0,727,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/12,0,15047659,859959,0,16594,3148,0,748,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/13,0,15077315,863614,0,16650,3195,0,744,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/14,0,15119939,867094,0,16752,3134,0,695,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/15,0,15217095,870380,0,16839,3120,0,711,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/16,0,15342948,874101,0,16901,3106,0,739,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/17,0,15446533,876257,0,16940,3050,0,725,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/18,0,15501322,878394,0,16979,3118,0,764,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/19,0,15550532,882665,0,16987,3092,0,784,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/20,0,15632122,887093,0,17067,3041,0,757,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/21,0,15748345,890153,0,17189,3011,0,750,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/22,0,15895649,896424,0,17266,3004,0,757,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/23,0,16036604,902325,0,17316,2978,0,748,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/24,0,16143666,906644,0,17345,2928,0,721,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/25,0,16211601,909344,0,17358,2972,0,709,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/26,0,16266999,913699,0,17398,2997,0,770,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/27,0,16351577,918627,0,17478,2968,0,791,39512223,3,2,2,3,0,1,1,3,2,3,2,61.57,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
