Date,City,State,PercentOfBaseline
2020/11/22,Los Angeles,California,86
2020/11/22,South San Francisco,California,46
2020/11/23,Los Angeles,California,87
2020/11/23,South San Francisco,California,45
2020/11/24,Los Angeles,California,89
2020/11/24,South San Francisco,California,66
2020/11/25,Los Angeles,California,86
2020/11/25,South San Francisco,California,54
2020/11/26,Los Angeles,California,55
2020/11/26,South San Francisco,California,26
2020/11/27,Los Angeles,California,48
2020/11/27,South San Francisco,California,23
2020/11/28,Los Angeles,California,72
2020/11/28,South San Francisco,California,30
2020/11/29,Los Angeles,California,76
2020/11/29,South San Francisco,California,53
2020/11/30,Los Angeles,California,80
2020/11/30,South San Francisco,California,46
2020/12/1,Los Angeles,California,86
2020/12/1,South San Francisco,California,62
2020/12/2,Los Angeles,California,81
2020/12/2,South San Francisco,California,63
